#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2025-04-15-06-20-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1744698039.961129	CJOvuY91XuZn8RsI5	REDACTED_IP	49763	REDACTED_IP	888	tcp	-	0.000018	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961129	CAMWSGlMPAFf0Fzb7	REDACTED_IP	49763	REDACTED_IP	49154	tcp	-	0.000019	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961129	CiZnKp457eSeTFqPjj	REDACTED_IP	49763	REDACTED_IP	1045	tcp	-	0.000025	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961129	CDKJTu32TuMPWlQHe1	REDACTED_IP	49763	REDACTED_IP	1124	tcp	-	0.000026	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961129	COzXkq4WAp9vtcugF2	REDACTED_IP	49763	REDACTED_IP	6106	tcp	-	0.000026	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961129	CYXH6PHXam6m9FiS2	REDACTED_IP	49763	REDACTED_IP	1111	tcp	-	0.000027	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961129	CeXzVc4tfFyuRjme7k	REDACTED_IP	49763	REDACTED_IP	8290	tcp	-	0.000033	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	ChzhQp12a2DFaGV0E2	REDACTED_IP	49763	REDACTED_IP	5357	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	CLxzdkCjOOdah0t3i	REDACTED_IP	49763	REDACTED_IP	2557	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	Cn98qg4cOPbhwHXLP3	REDACTED_IP	49763	REDACTED_IP	63331	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	CROBvTsNBAHCoD3Ak	REDACTED_IP	49763	REDACTED_IP	1213	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	CoDhze4Uyjok7SEaWa	REDACTED_IP	49763	REDACTED_IP	32781	tcp	-	0.000005	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	CLSI4Y1G8lQ3dPlDCl	REDACTED_IP	49763	REDACTED_IP	9968	tcp	-	0.000006	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961164	CMdxvJlGdd40dMKw5	REDACTED_IP	49763	REDACTED_IP	5120	tcp	-	0.000006	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961165	Cajsoel53Vq04pIA8	REDACTED_IP	49763	REDACTED_IP	212	tcp	-	0.000006	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961173	CJO8gt2naVGRCdlBKh	REDACTED_IP	49763	REDACTED_IP	4449	tcp	-	0.000011	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961173	CagpX84dXi0kmk0rNg	REDACTED_IP	49763	REDACTED_IP	1192	tcp	-	0.000013	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961173	CKlsmg37tk8aJzq9wk	REDACTED_IP	49763	REDACTED_IP	3268	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961173	CQAPhX3Lbkg396Lcld	REDACTED_IP	49763	REDACTED_IP	2968	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961173	CJTpXL1A8bJOVxsD4j	REDACTED_IP	49763	REDACTED_IP	10002	tcp	-	0.000015	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961173	CrynZB4PccwbpDzydh	REDACTED_IP	49763	REDACTED_IP	6009	tcp	-	0.000016	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	CTlfPP2GcFLGasIKP1	REDACTED_IP	49763	REDACTED_IP	8333	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	C6HdZq2G1sZwT0Sao8	REDACTED_IP	49763	REDACTED_IP	1063	tcp	-	0.000010	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	CwnOOo2X535EKjOLBf	REDACTED_IP	49763	REDACTED_IP	5414	tcp	-	0.000011	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	CAA8TE2GGJKoiDQmj5	REDACTED_IP	49763	REDACTED_IP	6646	tcp	-	0.000011	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	C35J4j33uX8TD71JC	REDACTED_IP	49763	REDACTED_IP	700	tcp	-	0.000012	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	C4zUZM3JP16tMNTbNc	REDACTED_IP	49763	REDACTED_IP	5269	tcp	-	0.000013	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.961366	CpaTz62mBCMayroGi3	REDACTED_IP	49763	REDACTED_IP	8652	tcp	-	0.000014	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
